lemma	codlem	gen	codmorf	NoLemLat	NoLiLaL	NoLiLaH	NoB	NoO	NoD	LemLatLST	LiLaLST
priscus	N2/1	*	Af-	2	1	0	1	1	0	31995(p3576),65078(66488)	lemma/119513
publicius	N2/1	*	Af-	2	1	0	0	2	0	65211(67852),65212(67853)	lemma/19588
puluinensis	N3A	*	Af-	2	1	0	1	1	0	33023(p4507),65236(68082)	lemma/120496
puniceus	N2/1	*	Af-	2	1	0	1	1	0	65238(68125),33051(p4530)	lemma/120520
pyrrhus	N2	m	NpB	2	1	0	0	2	0	65303(68398),65304(68399)	lemma/19711
pythius	N2/1	*	Af-	2	1	0	0	2	0	65317(68420),65316(68419)	lemma/19726
quartus	N2	m	NpB	2	1	0	0	2	0	65343(68731),65342(68730)	lemma/19773
quietalis	N3A	*	Af-	2	1	0	1	1	0	33458(q0207),65352(68852)	lemma/121175
quintillus	N2/1	*	Af-	2	1	0	0	2	0	65362(68981),65363(68982)	lemma/19813
rabsaces	N3B	m	NpC	2	1	0	0	2	0	65390(69130),65389(69129)	lemma/19849
raecius	N2	m	NpB	2	1	0	0	2	0	65405(69187),65404(69186)	lemma/19866
raphaim	N	m	NpP	2	1	0	0	2	0	65447(69273),65448(69274)	lemma/19911
regillus	N2/1	*	Af-	2	1	0	1	1	0	65512(70042),34131(r0302)	lemma/121670
rhodinus	N2/1	*	Af-	2	1	0	1	1	0	65615(71306),34836(r0680)	lemma/122048
rigomagus	N2	m	NpB	2	1	0	0	2	0	65661(71437),65662(71438)	lemma/20238
robur	N3B	m	NpC	2	1	0	0	2	0	65696(71565),65697(71566)	lemma/20281
rodanus	N2	m	NpB	2	1	0	0	2	0	65701(71580),65700(71579)	lemma/20285
romilius	N2/1	*	Af-	2	1	0	0	2	0	65724(71635),65725(71636)	lemma/20309
roseus	N2/1	*	Af-	2	1	0	1	1	0	34995(r0804),65743(71695)	lemma/122175
rufrius	N2	m	NpB	2	1	0	0	2	0	65797(71886),65798(71887)	lemma/20382
ruminalis	N3A	*	Af-	2	1	0	1	1	0	65810(71937),35113(r0894)	lemma/122264
sabidius	N2	m	NpB	2	1	0	0	2	0	65887(72181),65888(72182)	lemma/20474
saepo	N3B	f	NpC	2	1	0	0	2	0	65940(72383),65939(72382)	lemma/20527
saga	N1	f	NpA	2	1	0	0	2	0	65950(72425),65951(72426)	lemma/20539
saitae	N1	m	NpA	2	1	0	0	2	0	65967(72502),65968(72503)	lemma/20559
salanus	N2	m	NpB	2	1	0	0	2	0	65979(72525),65980(72526)	lemma/20571
salaria	N1	f	NpA	2	1	0	0	2	0	65986(72537),65985(72536)	lemma/20577
sale	N1	f	NpA	2	1	0	0	2	0	65996(72555),65997(72556)	lemma/20587
salienus	N2	m	NpB	2	1	0	0	2	0	66011(72595),66012(72596)	lemma/20601
saliniensis	N3A	*	Af-	2	1	0	1	1	0	66017(72614),35384(s0167)	lemma/123208
salsum	N2	n	NpB	2	1	0	0	2	0	66070(72736),66071(72737)	lemma/20659
salutaris	N3A	*	Af-	2	1	0	1	1	0	35461(s0235),66083(72802)	lemma/123278
salutifer	N2/1	*	Af-	2	1	0	1	1	0	35467(s0241),66084(72813)	lemma/123284
sandora	N1	f	NpA	2	1	0	0	2	0	66155(73014),66154(73013)	lemma/20760
sanqualis	N3A	*	Af-	2	1	0	1	1	0	35553(s0329),66171(73071)	lemma/123376
sarnus	N2	m	NpB	2	1	0	0	2	0	66272(73322),66273(73323)	lemma/20883
sarus	N2	m	NpB	2	1	0	0	2	0	66293(73367),66292(73366)	lemma/20902
satyrus	N2	m	NpB	2	1	0	0	2	0	66333(73518),66334(73519)	lemma/20945
sauus	N2	m	NpB	2	1	0	0	2	0	66360(73574),66361(73575)	lemma/20972
scantinius	N2/1	*	Af-	2	1	0	0	2	0	66393(73761),66394(73762)	lemma/21008
septimuleius	N2	m	NpB	2	1	0	0	2	0	66682(75407),66683(75408)	lemma/21377
sequana	N1	f	NpA	2	1	0	0	2	0	66689(75467),66688(75466)	lemma/21382
serena	N1	f	NpA	2	1	0	0	2	0	66713(75534),66714(75535)	lemma/21413
serenus	N2/1	*	Af-	2	1	0	1	1	0	36669(s1358),66717(75551)	lemma/124472
seruator	N3B	m	NpC	2	1	0	0	2	0	66741(75696),66740(75695)	lemma/21446
seruilius	N2/1	*	Af-	2	1	0	0	2	0	66744(75710),66745(75711)	lemma/21450
siga	N1	f	NpA	2	1	0	0	2	0	66857(76190),66858(76191)	lemma/21592
signifer	N2/1	*	Af-	2	1	0	1	1	0	36953(s1616),66872(76239)	lemma/124753
silbiani	N2/1	*	Af-	2	1	0	0	2	0	66888(76287),66887(76286)	lemma/21625
simo	N3B	m	NpC	2	1	0	0	2	0	66934(76457),66933(76456)	lemma/21684
siriacus	N2/1	*	Af-	2	1	0	1	1	0	67004(76731),37136(s1780)	lemma/124933
sontius	N2	m	NpB	2	1	0	0	2	0	67123(77251),67124(77253)	lemma/21937
sophroniscus	N2	m	NpB	2	1	0	0	2	0	67142(77291),67141(77290)	lemma/21959
sophronius	N2	m	NpB	2	1	0	0	2	0	67144(77293),67143(77292)	lemma/21961
soter	N3B	m	NpC	2	1	0	0	2	0	67191(77450),67190(77449)	lemma/22017
sphingios	N2	m	NpB	2	1	0	0	2	0	67245(77735),67244(77734)	lemma/22096
staberius	N2	m	NpB	2	1	0	0	2	0	67275(78057),67276(78058)	lemma/22142
stabulum	N2	n	NpB	2	1	0	0	2	0	67279(78085),67280(78086)	lemma/22147
stella	N1	m	NpA	2	1	0	0	2	0	67325(78345),67326(78346)	lemma/22200
strobilus	N2	m	NpB	2	1	0	0	2	0	67402(78808),67403(78809)	lemma/22297
subalpinus	N2/1	*	Af-	2	1	0	1	1	0	67442(79075),38211(s2741)	lemma/125979
sulla	N1	m	NpA	2	1	0	0	2	0	67526(80536),67525(80535)	lemma/22475
sulpicius	N2/1	*	Af-	2	1	0	0	2	0	67534(80548),67535(80549)	lemma/22485
sutrinus	N2/1	*	Af-	2	1	0	1	1	0	39450(s3893),67582(81590)	lemma/127162
synnauus	N2/1	*	Af-	2	1	0	1	1	0	67640(81813),39535(s3976)	lemma/127253
syrtis	N3B	f	NpC	2	1	0	0	2	0	67663(81918),67662(81917)	lemma/22698
tagus	N2	m	NpB	2	1	0	0	2	0	67710(82097),67711(82098)	lemma/22753
taurinus	N2/1	*	Af-	2	1	0	1	1	0	67898(82491),39754(t0153)	lemma/127681
tegea	N1	f	NpA	2	1	0	0	2	0	67939(82614),67938(82613)	lemma/23016
temenites	N3B	m	NpC	2	1	0	0	2	0	67997(82743),67996(82742)	lemma/23080
theogenes	N3B	m	NpC	2	1	0	0	2	0	68251(83672),68252(83673)	lemma/23384
theon	N3B	m	NpC	2	1	0	0	2	0	68259(83688),68258(83687)	lemma/23391
therasia	N1	f	NpA	2	1	0	0	2	0	68280(83729),68281(83730)	lemma/23417
thermensis	N3A	*	Af-	2	1	0	1	1	0	40244(t0582),68289(83755)	lemma/128141
thessalus	N2	m	NpB	2	1	0	0	2	0	68330(83827),68331(83828)	lemma/23476
thymbraeus	N2/1	*	Af-	2	1	0	1	1	0	40304(t0640),68442(84037)	lemma/128203
titus	N2	m	NpB	2	1	0	0	2	0	68628(84435),68627(84434)	lemma/23818
tonitrualis	N3A	*	Af-	2	1	0	1	1	0	68681(84582),40491(t0801)	lemma/128378
transalpinus	N2/1	*	Af-	2	1	0	1	1	0	68729(85018),40701(t0975)	lemma/128573
transaustrinus	N2/1	*	Af-	2	1	0	1	1	0	40702(t0976),68730(85021)	lemma/128574
transbeneuentanus	N2/1	*	Af-	2	1	0	1	1	0	68731(85024),40703(t0977)	lemma/128575
transmontanus	N2/1	*	Af-	2	1	0	1	1	0	40796(t1062),68737(85190)	lemma/128660
transpadanus	N2/1	*	Af-	2	1	0	1	1	0	68738(85209),40809(t1075)	lemma/128673
transrhenanus	N2/1	*	Af-	2	1	0	1	1	0	40823(t1088),68740(85230)	lemma/128686
transtigritanus	N2/1	*	Af-	2	1	0	1	1	0	40826(t1091),68743(85247)	lemma/128690
traulus	N2/1	*	Af-	2	1	0	1	1	0	40863(t1126),68752(85325)	lemma/128731
tuticus	N2/1	*	Af-	2	1	0	1	1	0	68991(86589),41425(t8841)	lemma/129372
typhonicus	N2/1	*	Af-	2	1	0	1	1	0	69025(86668),41449(t1864)	lemma/129343
tyros	N2	f	NpB	2	1	0	0	2	0	69038(86705),69037(86704)	lemma/24329
u	N	2	NpP	2	1	0	0	2	0	69049(87657),69048(86726)	lemma/24341
ualens	N3B	m	NpC	2	1	0	0	2	0	69082(87797),69083(87798)	lemma/24627
ualentia	N1	f	NpA	2	1	0	0	2	0	69084(87801),69085(87802)	lemma/24630
uarianus	N2/1	*	Af-	2	1	0	1	1	0	41587(u0108),69139(87970)	lemma/129572
ucubis	N3B	f	NpC	2	1	0	0	2	0	69194(86771),69195(86772)	lemma/24363
uediouis	N3B	m	NpC	2	1	0	0	2	0	69209(88168),69208(88167)	lemma/24743
uelia	N1	f	NpA	2	1	0	0	2	0	69241(88262),69240(88261)	lemma/24782
uenetus	N2/1	*	Af-	2	1	0	1	1	0	41809(u0294),69282(88447)	lemma/129782
uenustus	N2/1	*	Af-	2	1	0	1	1	0	41857(u0336),69298(88549)	lemma/129828
uerrinus	N2/1	*	Af-	2	1	0	1	1	0	69344(88789),41959(u0416)	lemma/129917
uerulanus	N2/1	*	Af-	2	1	0	0	2	0	69366(88914),69365(88913)	lemma/24932
uettienus	N2	m	NpB	2	1	0	0	2	0	69420(89130),69419(89129)	lemma/25003
uigilius	N2	m	NpB	2	1	0	0	2	0	69495(89438),69496(89439)	lemma/25078
uiminalis	N3A	*	Af-	2	1	0	1	1	0	69502(89505),42297(u0674)	lemma/130214
uinouia	N1	f	NpA	2	1	0	0	2	0	69541(89647),69540(89646)	lemma/25134
uitodurum	N2	n	NpB	2	1	0	0	2	0	69604(90016),69605(90017)	lemma/25223
uitrodorus	N2	m	NpB	2	1	0	0	2	0	69610(90039),69609(90038)	lemma/25229
ulmanus	N2/1	*	Af-	2	1	0	1	1	0	69638(86831),42586(u0931)	lemma/130495
ulpius	N2/1	*	Af-	2	1	0	0	2	0	69644(86846),69643(86845)	lemma/24397
unelli	N2/1	*	Af-	2	1	0	0	2	0	69678(87074),69679(87075)	lemma/24453
uordenses	N3A	*	Af-	2	1	0	0	2	0	69761(90383),69760(90382)	lemma/25334
urbanicianus	N2/1	*	Af-	2	1	0	1	1	0	69785(87243),42936(u1234)	lemma/130813
urbicus	N2/1	*	Af-	2	1	0	1	1	0	69791(87260),42944(u1241)	lemma/130820
ursicinus	N2	m	NpB	2	1	0	0	2	0	69825(87400),69826(87401)	lemma/24530
xanthus	N2	m	NpB	2	1	0	0	2	0	69905(90519),69906(90520)	lemma/25374
xeno	N3B	m	NpC	2	1	0	0	2	0	69912(90533),69911(90532)	lemma/25382
xenophilus	N2	m	NpB	2	1	0	0	2	0	69918(90544),69919(90545)	lemma/25390
xenophon	N3B	m	NpC	2	1	0	0	2	0	69920(90546),69921(90547)	lemma/25392
xyniae	N1	f	NpA	2	1	0	0	2	0	69939(90598),69938(90597)	lemma/25414
zeno	N3B	m	NpC	2	1	0	0	2	0	69999(90749),69998(90748)	lemma/25482
zephyrius	N2/1	*	Af-	2	1	0	1	1	0	70012(90766),43172(z0017)	lemma/131204
zeuxis	N3B	m	NpC	2	1	0	0	2	0	70025(90800),70026(90801)	lemma/25510
zoilus	N2	m	NpB	2	1	0	0	2	0	70051(90876),70050(90875)	lemma/25539
