lemma	codlem	gen	codmorf	keep	throwLst
harpago	V1		VmF	h0127	D76FC
hasta	N1	f	NcA	h0137	D76HC,D76H8,D76HE,D76H9,D76HF,D76HA,D76HB
hastarium	N2	n	NcB	h0138	D7701
haustus	N4	m	NcD	h0159	D773G
hecatontas	N3B	f	NcC	h0170	D775B
hedera	N1	f	NcA	h0172	D7764
helluor	V1		VmF	h0203	D779A
hemina	N1	f	NcA	h0226	D77AH
heptamyxos	N2/1	*	Af-	h0257	D77D3
heptaphonos	N2/1	*	Af-	h0258	D77D4
hermeneuma	N3B	n	NcC	h0303	D7863
herus	N2	m	NcB	e0843	D7899,D789A
hieromnemon	N3B	m	NcC	h0375	D78E7
hilla	N1	f	NcA	h0299	D78FG
hinnula	N1	f	NcA	h0400	D78H4,D78H2,D78H3
hircipes	N3B	m	NcC	h0439	D7906
hircus	N2	m	NcB	h0443	D7909
hirudo	N3B	f	NcC	h0456	D791A
hirundo	N3B	f	NcC	h0459	D791D
holosericus	N2/1	*	Af-	h0501	D797C
holouitreus	N2/1	*	Af-	h0507	D797F
hordeolus	N2	m	NcB	h0562	D79FE
horia	N1	f	NcA	h0567	D79G1
hostia	N1	f	NcA	h0628	D7A51,D7A52,D7A53
humerus	N2	m	NcB	u0988	D7AE2
ignis	N3B	m	NcC	i0144	D7C53,D7C52
illex	N3A	*	Af-	i0219	D7C84
imber	N3B	m	NcC	i0304	D7CCH
impingo	V3		VmH	i0547	D7DB2
implecto	V3		VmH	i0564	D7DC2
impleo	V2		VmG	i0566	D7DCA
impluo	V3		VmH	i0580	D7DD7
impraesentiarum	I		X--	i9917	D7DGH
imus	N2/1	*	Af-	i0701	D7E4G
incharaxo	V1		VmF	i0889	D7F1E
incorporalis	N3A	*	Af-	i1084	D7FEC
indages	N3B	f	NcC	i1184	D7G2E
infundo	V3		VmH	i1671	D7HDC,D7HDD
inlex	N3A	*	Af-	D808H	D8090
inquies	N3B	f	NcC	i1916	D810D
insum	VA		VmN	i2191	D7H02
introduco	V3		VmH	i9922	D8356,D8357
intromitto	V3		VmH	i9925	D8367
intueor	V2		VmG	i2620	D8371
iocus	N2	m	NcB	i2772	D83H2
iter	N3B	n	NcC	i2961	D84AF
iuuenalia	N3B	n	NcC	i3093	D85B2
labes	N3B	f	NcC	l0014	D8694
lampas	N3B	f	NcC	l0181	D87B8,D87B9
lar	N3B	m	NcC	D889G	D889H,D88A0
lateralia	N3B	n	NcC	l0344	D88G5,D88G4
lebes	N3B	m	NcC	l0450	D89E5
luter	N3B	m	NcC	l1239	D8FCH
maialis	N3B	m	NcC	m0136	D8H03
maledico	V3		VmH	m9606	D8HA3
malefactum	N2	n	NcB	m9499	D8HAC
manalis	N3A	*	Af-	m0239	D906H
manipulus	N2	m	NcB	m0301	D9175,D9176
marmaritis	N3B	f	NcC	m0398	D935G
