lemma	codlem	gen	codmorf	keep	throwLst
suscepto	V1		VmF	s3841	DE055
susurro	V1		VmF	s3884	DE090
syllogizo	V1		VmF	s3920	DE0C7
tabulo	V1		VmF	t0033	DEDCB,DEDC9,DEDCA
taciturio	V4		VmL	t9036	DEDG1
taedio	V1		VmF	t0045	DEDH1
talipedo	V1		VmF	t0069	DEE72
tenebro	V1		VmF	t0284	DEG8A
tetrinnio	V4		VmL	t0503	DF052
thesaurizo	V1		VmF	t0592	DF0H1
tibicino	V1		VmF	t0675	DF17H
tinnito	V1		VmF	t0718	DF1FH
tintinno	V1		VmF	t0726	DF1GG
titio	V1		VmF	t0747	DF231
tonitruo	V1		VmF	t0803	DF2D4
tono	V1		VmF	t0796	DF2BG
torculo	V1		VmF	t0835	DF304
tosto	V1		VmF	t0884	DF3AB
transfluuio	V1		VmF	t1007	DF4A8
transuerso	V1		VmF	t1108	DF4FC,DF4FD
triplo	V1		VmF	t1351	DF69G
trisso	V1		VmF	t1380	DF6CC
trituro	V1		VmF	t1409	DF6F0
trucilo	V1		VmF	t1453	DF75A
tubicino	V1		VmF	t1694	DF7C3
tubo	V1		VmF	t1696	DF7B7
tudito	V1		VmF	t1711	DF7DA
turbulento	V1		VmF	t1775	DF839
tympanizo	V1		VmF	t1860	DF8EE
uado	V1		VmF	u0024	DE15C
ualido	V1		VmF	u0056	DE1DB
uberto	V1		VmF	u9161	DE2G8
udo	V1		VmF	u0174	DE2HA
uenor	V1		VmF	u0302	DE39B
uento	V1		VmF	u0313	DE3FE
uerecundor	V1		VmF	u9366	DE451
uero	V1		VmF	u0410	DE41C
uertigino	V1		VmF	u0412	DE501
uibrisso	V1		VmF	u9573	DE5FF
uictimo	V1		VmF	u0612	DE637
uilifico	V1		VmF	u0658	DE6AG
uinculo	V1		VmF	u0691	DE6GE
uindemio	V1		VmF	u0698	DE6H3,DE6H2
uio	V1		VmF	u0730	DE5DG,DE5DH
uirido	V1		VmF	u0787	DE796
ultimo	V1		VmF	u0942	DE87H
uncino	V1		VmF	u1013	DE8C9
unco	V1		VmF	u1017	DE8BF
uno	V1		VmF	u1131	DE8BB
urco	V1		VmF	u7247	DE9FE
