c[-i-]{+y+}r	4
c[-c-]u	4
c[-c-]h	4
c[-au-]{+o+}d	4
a[-i-]{+y+}d	4
a[-d-]{+g+}g	4
a[-c-]{+d+}c	4
a[-b-]{+p+}s	4
x[-s-]u	3
x[-s-]t	3
u{+m+}i	3
u[-i-]{+y+}a	3
u[-e-]{+o+}r	3
u[-e-]{+i+}r	3
u[-c-]{+t+}i	3
u[-b-]{+r+}r	3
u[-b-]{+m+}m	3
u[-b-]{+f+}f	3
t{+r+}a	3
t[-i-]{+y+}m	3
t[-e-]r	3
s{+s+}i	3
s[-i-]{+y+}m	3
s[-a-]{+e+}r	3
r{+h+}a	3
p[-e-]{+i+}n	3
o[-n-]{+r+}r	3
n[-s-]{+t+}i	3
n[-e-]{+i+}a	3
n[-c-]{+t+}i	3
m[-a-]{+e+}r	3
l[-i-]{+y+}t	3
l[-e-]{+i+}s	3
l[-e-]{+i+}g	3
l{+e+}	3
l[-a-]u	3
[-i-]{+y+}s	3
i[-on-]{+um+}	3
h[-i-]{+y+}m	3
f[-i-]{+y+}r	3
d[-i-]{+y+}s	3
[-c-]{+k+}a	3
c[-i-]{+y+}c	3
c[-i-]{+u+}p	3
[-b-]{+u+}i	3
b[-o-]{+u+}l	3
[-au-]{+o+}r	3
a[-i-]{+y+}u	3
a[-d-]{+l+}l	3
a[-c-]{+t+}t	3
x{+s+}i	2
u[-i-]{+y+}d	2
u{+i+}c	2
u[-e-]{+i+}n	2
u[-e-]{+i+}l	2
u[-c-]{+g+}a	2
u[-b-]{+u+}i	2
t{+u+}a	2
t{+t+}o	2
t[-i-]{+y+}l	2
t[-e-]{+i+}m	2
t[-e-]{+i+}g	2
s[-s-]{+t+}i	2
s[-e-]{+i+}a	2
r{+us+}	2
r[-s-]{+t+}u	2
r{+ri+}g	2
r[-o-]{+u+}b	2
r[-i-]{+y+}m	2
r[-i-]{+u+}p	2
r{+i+}a	2
r[-e-]{+i+}s	2
r[-e-]{+i+}o	2
r[-c-]{+s+}i	2
p{+u+}l	2
p{+p+}e	2
p[-o-]{+u+}s	2
p[-i-]{+y+}t	2
p[-i-]{+y+}c	2
p[-i-]{+u+}l	2
p[-h-]o	2
p[-e-]{+i+}c	2
[-o-]{+u+}r	2
o[-m-]{+n+}p	2
o[-i-]{+y+}s	2
o[-i-]{+y+}o	2
o[-i-]{+y+}l	2
o[-c-]{+qu+}i	2
n{+n+}a	2
n[-i-]o	2
n[-e-]{+i+}o	2
n[-a-]e	2
m[-u-]{+y+}r	2
m[-o-]{+y+}l	2
m[-o-]{+u+}s	2
m[-o-]{+u+}l	2
m{+o+}e	2
m[-i-]{+y+}g	2
m[-e-]{+i+}n	2
l[-l-]o	2
l{+l+}e	2
l[-i-]{+y+}m	2
l[-i-]{+y+}a	2
l[-e-]{+i+}t	2
l[-b-]{+u+}u	2
l[-au-]{+o+}s	2
[-i-]{+y+}n	2
[-i-]{+y+}m	2
[-i-]{+y+}c	2
i[-ss-]{+z+}o	2
i{+s+}r	2
i[-o-]{+u+}l	2
i[-m-]{+n+}m	2
i[-e-]{+u+}r	2
i[-e-]t	2
i[-c-]{+g+}i	2
i[-a-]{+e+}n	2
h[-i-]{+y+}s	2
h[-e-]{+i+}r	2
g{+u+}o	2
g[-i-]{+y+}p	2
g[-i-]{+y+}m	2
g[-i-]{+y+}l	2
f{+o+}e	2
f[-l-]{+r+}a	2
e[-n-]s	2
e[-mp-]{+n+}t	2
e[-i-]{+y+}g	2
e[-i-]{+y+}d	2
[-e-]{+i+}n	2
e[-he-]n	2
e[-c-]{+t+}i	2
d[-o-]{+u+}l	2
d[-i-]{+y+}l	2
d[-i-]{+y+}a	2
d[-d-]u	2
c[-u-]{+y+}p	2
{+c+}t	2
c[-o-]{+u+}n	2
c[-o-]{+u+}l	2
c[-i-]{+y+}s	2
c[-i-]{+y+}p	2
c[-i-]{+u+}l	2
c[-h-]t	2
c[-e-]{+i+}o	2
c[-e-]{+i+}l	2
c[-c-]i	2
c[-c-]e	2
c{+c+}a	2
c[-au-]{+o+}p	2
b{+o+}e	2
b[-i-]{+y+}r	2
b[-e-]{+i+}c	2
[-b-]{+du+}e	2
a[-l-]{+r+}a	2
a[-i-]{+y+}g	2
a[-c-]{+g+}r	2
a[-b-]{+u+}a	2
a[-b-]s	2
a[-b-]{+p+}a	2
a[-b-]{+d+}b	2
z[-i-]{+y+}m	1
z[-i-]{+u+}l	1
z[-ae-]{+i+}n	1
z[-a-]e	1
x[-so-]{+u+}l	1
x{+s+}o	1
x[-i-]{+y+}c	1
x[-i-]{+y+}b	1
x{+h+}e	1
x{+h+}a	1
x[-e-]{+i+}n	1
u{+u+}m	1
u{+u+}i	1
u[-tt-]{+l+}i	1
u[-sc-]{+t+}u	1
[-u-]{+sa+}l	1
[-us-]	1
u[-r-]{+s+}	1
[-u-]{+o+}l	1
u[-m-]{+s+}	1
u[-m-]{+n+}t	1
u[-m-]{+n+}q	1
u[-i-]{+y+}t	1
u[-i-]{+y+}s	1
u[-i-]t	1
u[-e-]l	1
u[-e-]{+i+}p	1
u[-e-]{+i+}d	1
u[-b-]{+p+}t	1
u[-b-]{+p+}p	1
u[-b-]l	1
u[-b-]{+g+}g	1
u[-b-]{+f+}a	1
u[-b-]{+c+}c	1
u[-ae-]{+i+}r	1
u[-ae-]{+i+}l	1
t{+ur+}a	1
t{+u+}l	1
t{+u+}e	1
t[-t-]u	1
t{+t+}i	1
t{+t+}e	1
t{+t+}a	1
t[-r-]{+ul+}u	1
t[-r-]u	1
t{+r+}i	1
t[-o-]{+y+}r	1
t[-o-]{+u+}s	1
t[-o-]{+u+}r	1
t[-on-]{+u+}s	1
t[-on-]{+um+}	1
t[-i-]{+y+}s	1
t[-i-]{+y+}p	1
t[-i-]{+y+}c	1
t[-i-]{+y+}b	1
t[-i-]{+u+}l	1
t[-ip-]u{+p+}l	1
t[-i-]{+o+}n	1
