codlem	gen	codmorf	LiLaRef	n_id	lemma	Throw_n_id	Throw_lemma	chk
N2	m	NcB	lemma/36672	D27HE	bracetus	D2808	brachetus	NO
N2/1	*	Af-	lemma/91838	b0586	bracchiatus	D280F	brachiatus	OK
N2	n	NcB	lemma/91840	b0589	bracchiolum	D2817	brachiolum	OK
N2	n	NcB	lemma/91842	b0591	bracchium	D281C	brachium	OK
N3B	m	NcC	lemma/91864	b0612	bratteator	D282F	bracteator	OK
N1	f	NcA	lemma/91866	b0614	bratteola	D282G	bracteola	OK
N2	n	NcB	lemma/91829	b0578	brabeum	D28AA	brauium	OK
N1	f	NcA	lemma/36822	D284H	braida	D28B6	brayda	NO
N2	n	NcB	lemma/36709	D2839	braesium	D28F0	bresium	NO
N2/1	*	Af-	lemma/91890	b0637	brocchus	D2958	broccus	OK
N2/1	*	Af-	lemma/91890	b0637	brocchus	D2964	brochus	OK
N2	m	NcB	lemma/37013	D2963	brochus	D2969	brocus	NO
N2	m	NcB	lemma/37046	D2988	broilus	D29B9	broylus	NO
N2	m	NcB	lemma/91898	b0645	bruchus	D29C2	brucus	NO
V1		VmF	lemma/91928	b0672	bubulo	D2A0D	bubilo	NO
N1	f	NcA	lemma/91933	b0677	bucca	D2A1E	buca	OK
N1	f	NcA	lemma/91933	b0677	bucca	D2A3B	buccha	NO
N2	n	NcB	lemma/37238	D2A2F	buccasinum	D2A3C	bucchasinum	NO
N1	f	NcA	lemma/92072	b0804	bucina	D2A3F	buccina	OK
V1		VmF	lemma/91951	b0696	bucino	D2A3H	buccino	OK
N2	m	NcB	lemma/92073	b0805	bucinus	D2A43	buccinus	OK
N1	f	NcA	lemma/91933	b0677	bucca	D2A58	bucha	NO
N1	f	NcA	lemma/92072	b0804	bucina	D2A5G	buchina	NO
N1	m	NcA	lemma/91930	b0674	bucaeda	D2A63	bucida	OK
N1	f	NcA	lemma/91935	b0679	buccella	D2A64	bucilla	OK
N2	n	NcB	lemma/91948	b0692	bucetum	D2A69	bucitum	OK
N2	m	NcB	lemma/91916	b0661	bubalus	D2A88	bufalus	OK
N1	f	NcA	lemma/37423	D2AGC	burchia	D2AGG	burcia	NO
N2	m	NcB	lemma/92018	b0757	burricus	D2B60	buricus	OK
V4		VmL	lemma/91796	b0550	borrio	D2B68	burio	OK
N2	m	NcB	lemma/92018	b0757	burricus	D2B7G	burrichus	OK
V4		VmL	lemma/91796	b0550	borrio	D2B80	burrio	OK
N1	f	NcA	lemma/92054	b0789	byrsa	D2B86	bursa	OK
N1	f	NcA	lemma/37570	D2B9B	busca	D2BA1	buscha	NO
N1	f	NcA	lemma/37583	D2BA7	buschia	D2BAA	buscia	NO
N1	f	NcA	lemma/37641	D2BEE	buthsecarla	D2BG5	butsecarla	NO
N2/1	*	Af-	lemma/35562	D23F3	binomius	D2C17	bynomius	NO
N1	f	NcA	lemma/91651	b0416	birota	D2C1C	byrota	NO
N2	m	NcB	lemma/91652	b0417	birrus	D2C1D	byrrus	OK
N1	f	NcA	lemma/37715	D247F	bizantia	D2C24	byzantia	NO
N2	m	NcB	lemma/92136	c0021	caccabus	D2CAA	cacabus	OK
N1	f	NcA	lemma/40898	D2CB8	caceria	D2CBE	cacheria	NO
N2	m	NcB	lemma/37856	D2CBF	cachi	D2CC4	caci	NO
N1	f	NcA	lemma/37857	D2CBG	cachia	D2CC5	cacia	NO
N1	f	NcA	lemma/92153	c0037	cacochymia	D2CCG	cacochimia	NO
N1	f	NcA	lemma/37844	D2CB3	cacea	D2CHE	caecia	NO
N2	m	NcB	lemma/93371	c1096	cenarius	D2D0F	caenarius	NO
N2	m	NcB	lemma/40910	D2CAF	cacanus	D2D2A	caganus	NO
N1	f	NcA	lemma/92305	c0175	calautica	D2D75	calantica	OK
N2/1	*	Af-	lemma/93637	c1324	chalasticus	D2D7F	calasticus	OK
N2	m	NcB	lemma/92302	c0172	calathus	D2D86	calatus	NO
N1	f	NcA	lemma/38075	D2DBF	calceria	D2DC5	calcheria	NO
N1	f	NcA	lemma/38082	D2DCA	calcia	D2DC6	calchia	NO
V1		VmF	lemma/92337	c0203	calco	D2DC3	calcho	NO
N2	m	NcB	lemma/92323	c0189	calceamentarius	D2DCE	calciamentarius	OK
N2	n	NcB	lemma/93366	c1091	calcearium	D2DD2	calciarium	OK
N2	m	NcB	lemma/93240	c0984	calcearius	D2DD4	calciarius	OK
N3B	m	NcC	lemma/92326	c0192	calceator	D2DD8	calciator	OK
V1		VmF	lemma/92327	c0193	calceo	D2DCG	calcio	OK
N3B	f	NcC	lemma/97615	c8338	chalcitis	D2DEC	calcitis	NO
N1	f	NcA	lemma/93602	c1294	calidaria	D2DG7	caldaria	OK
N1	f	NcA	lemma/109592	k0002	kalendae	D2E0A	calendae	OK
N2	n	NcB	lemma/109593	k0003	kalendarium	D2E0C	calendarium	OK
N2	n	NcB	lemma/38151	D2DHH	calefagium	D2E1D	calfagium	NO
N2	n	NcB	lemma/92359	c0223	caliandrum	D2E33	caliendrum	OK
N2/1	*	Af-	lemma/97748	c9912	callaecus	13787	callaicus	OK
N1	f	NcA	lemma/92423	c0281	caltha	D2E9A	calta	OK
N		NcP	lemma/38310	D2E28	calibs	D2EBE	calybs	NO
N1	m	NcA	lemma/38203	D2E42	calipha	D2EBF	calypha	NO
N1	f	NcA	lemma/92382	c0244	caliptra	D2EBG	calyptra	NO
N1	f	NcA	lemma/92457	c0308	camara	D2F02	camera	OK
N2/1	*	Af-	lemma/92458	c0309	camararius	D2F15	camerarius	OK
N2/1	*	Af-	lemma/92458	c0309	camararius	D2F15	camerarius	OK
N2/1	*	Af-	lemma/92458	c0309	camararius	D2F15	camerarius	OK
V1		VmF	lemma/92460	c0310	camaro	D2F0H	camero	OK
N2	m	NcB	lemma/38323	D2ECC	camaeus	D2F27	cameus	NO
V1		VmF	lemma/92500	c0344	campso	D2FB7	camso	OK
N1	f	NcA	lemma/92507	c0351	canaba	D2FE4	canapa	OK
N1	f	NcA	lemma/92507	c0351	canaba	D2FFE	canaua	OK
N2	m	NcB	lemma/92624	c0449	cantharulus	D2GF7	cantarulus	OK
N2	m	NcB	lemma/92631	c0455	cantherius	D2GGB	canterius	OK
N1	f	NcA	lemma/38794	D2GE3	cantara	D2GGE	canthara	NO
N2	m	NcB	lemma/92632	c0456	canthus	D2H1D	cantus	OK
N1	f	NcA	lemma/92124	c0009	cabanna	D2H3G	capanna	OK
N3B	f	NcC	lemma/92770	c0571	captio	D2H4C	capcio	NO
V1		VmF	lemma/92666	c0484	caperro	D2H8A	capero	OK
N2	n	NcB	lemma/92714	c0523	capitum	D2H98	capetum	OK
N1	f	NcA	lemma/38884	D2H34	capa	D2H9F	capha	NO
N1	f	NcA	lemma/38986	D2HCC	capischolia	D2HCD	capiscolia	NO
N2	n	NcB	lemma/92668	c0486	caphisterium	D2HCH	capisterium	OK
N3B	n	NcC	lemma/92694	c0507	capital	D2HE3	capitale	OK
N2	m	NcB	lemma/92708	c0518	capreolus	D3075	capriolus	OK
N2/1	*	Af-	lemma/39163	D30C4	capucius	D30E2	caputius	NO
N1	f	NcA	lemma/93701	c1383	chara	D30EB	cara	NO
N3B	m	NcC	lemma/93704	c1386	character	D30F4	caracter	OK
N2	m	NcB	lemma/92800	c0595	caragius	D30G0	caragus	OK
V1		VmF	lemma/93708	c1390	charaxo	D3105	caraxo	OK
N2	n	NcB	lemma/39257	D311F	carcannum	D312H	carchannum	NO
N2	n	NcB	lemma/92899	c0683	caroenum	D316G	carenum	OK
V1		VmF	lemma/92924	c0705	carrico	D3190	carico	OK
N1	f	NcA	lemma/92835	c0625	caryota	D31A8	cariota	OK
N1	f	NcA	lemma/92864	c0652	carissa	D31AD	carisa	OK
N3B	n	NcC	lemma/93710	c1392	charisma	D31AF	carisma	NO
N1	f	NcA	lemma/41053	D3173	careria	D328C	carreria	NO
N1	f	NcA	lemma/39581	D324C	carra	D3297	carrha	NO
N1	f	NcA	lemma/39584	D329B	carrica	D329E	carricha	NO
N1	f	NcA	lemma/92929	c0710	carruca	D32D0	carrucha	OK
N2	m	NcB	lemma/92931	c0711	carrucarius	D32D2	carrucharius	OK
N1	f	NcA	lemma/93715	c1396	charta	D32E2	carta	OK
N2	n	NcB	lemma/39677	D32GD	carteironum	D32HH	carteyronum	NO
N1	f	NcA	lemma/93729	c1407	chartula	D3320	cartula	OK
N1	f	NcA	lemma/92929	c0710	carruca	D3332	caruca	OK
N2/1	*	Af-	lemma/92971	c0745	cassabundus	D3342	casabundus	OK
N3B	n	NcC	lemma/93731	c1409	chasma	D3397	casma	NO
N1	f	NcA	lemma/92967	c0741	casia	D33D3	cassia	OK
V1		VmF	lemma/39930	D340H	castico	D3411	casticho	NO
N1	f	NcA	lemma/93039	c0800	casula	D3453	casubla	OK
N3B	m	NcC	lemma/93041	c0802	catabolenses	D346C	catabulenses	OK
N2	n	NcB	lemma/93043	c0804	catabolum	D346D	catabulum	OK
N2	m	NcB	lemma/93049	c0809	cataclysmos	D346H	cataclismus	NO
N2	m	NcB	lemma/93049	c0809	cataclysmos	D3471	cataclysmus	OK
N1	m	NcA	lemma/95724	c3218	catafractes	D3494	cataphracta	OK
N2	n	NcB	lemma/93128	c0883	catharticum	D34A4	catarticum	NO
V1		VmF	lemma/93107	c0864	catechizo	D34BD	catecizo	NO
N1	f	NcA	lemma/93112	c0868	cateia	D34DC	cateya	NO
N1	f	NcA	lemma/40091	D345H	cata	D34DF	catha	NO
N2	m	NcB	lemma/40019	D3483	catalettus	D34E3	cathalettus	NO
V1		VmF	lemma/93077	c0836	cataplasmo	D34E7	cathaplasmo	NO
N1	f	NcA	lemma/93093	c0851	catasta	D34EG	cathasta	NO
N2	m	NcB	lemma/93105	c0862	catechismus	D34F0	cathecismus	NO
N2	m	NcB	lemma/40109	D34B9	catechizari	D34F1	cathecizari	NO
N1	f	NcA	lemma/93117	c0872	catena	D34FD	cathena	NO
N2	n	NcB	lemma/40080	D34CH	catenaticum	D34FG	cathenaticum	NO
N2	n	NcB	lemma/40124	D34DA	catesamittum	D34G3	cathesamittum	NO
V1		VmF	lemma/40130	D34DE	catezizo	D34GA	cathezizo	NO
N2	m	NcB	lemma/40159	D34HA	cathomus	D3512	catomus	NO
N2	m	NcB	lemma/93151	c0903	catlaster	D351E	catulaster	OK
N2	m	NcB	lemma/92986	c0759	cattus	D3523	catus	OK
V1		VmF	lemma/93221	c0966	cauillor	D35BG	cauillo	OK
N2	m	NcB	lemma/93247	c0989	caupulus	D35DA	caupillus	OK
N1	f	NcA	lemma/93261	c1003	causea	D35F0	causia	OK
V1		VmF	lemma/93271	c1012	causor	D35ED	causo	OK
N1	f	NcA	lemma/37987	D2D3F	caibola	D360F	caybola	NO
N2	m	NcB	lemma/37991	D2D41	cairellus	D3610	cayrellus	NO
N2	m	NcB	lemma/40381	D2D43	caironus	D3614	cayronus	NO
N2	n	NcB	lemma/40384	D2D47	caium	D3618	cayum	NO
N1	f	NcA	lemma/37844	D2CB3	cacea	D3637	cecia	NO
N3B	n	NcC	lemma/92209	c0085	caelamen	D3651	celamen	NO
N2	n	NcB	lemma/97675	c9834	caelatum	D365A	celatum	NO
N1	f	NcA	lemma/92256	c0130	caelatura	D365B	celatura	NO
N2/1	*	Af-	lemma/92213	c0089	caelestinus	D3677	celestinus	NO
N1	f	NcA	lemma/92215	c0091	caelia	D367D	celia	OK
N2	m	NcB	lemma/40473	D2D09	caelibatus	D367E	celibatus	NO
N2	m	NcB	lemma/93341	c1068	cellariarius	D368B	cellararius	OK
N2	m	NcB	lemma/93341	c1068	cellariarius	D3694	cellerarius	OK
N3B	f	NcC	lemma/93743	c1419	chelonitis	D36A0	celonitis	NO
N2	n	NcB	lemma/97622	c9105	caelum	D36AA	celum	NO
N2	m	NcB	lemma/40503	D367G	celidrus	D36AC	celydrus	NO
N2	m	NcB	lemma/92232	c0106	caementarius	D36B1	cementarius	NO
N1	f	NcA	lemma/40571	D36FD	centa	D36H8	centha	NO
N2/1	*	Af-	lemma/92237	c0111	caenulentus	D3724	cenulentus	OK
N2	n	NcB	lemma/92238	c0112	caenum	D3726	cenum	OK
N1	f	NcA	lemma/92622	c0447	caeparia	D372C	ceparia	OK
N2	m	NcB	lemma/92735	c0541	caeparius	D372F	ceparius	OK
N1	f	NcA	lemma/37946	D2D0H	caepia	D373F	cepia	NO
N1	f	NcA	lemma/93486	c1194	caepula	D374E	cepula	OK
N2	n	NcB	lemma/40655	D2D12	caepum	D374G	cepum	NO
N1	f	NcA	lemma/40682	D376H	cerca	D3775	cercha	NO
V1		VmF	lemma/40678	D3770	cerco	D3777	cercho	NO
N2	m	NcB	lemma/94053	c1685	circius	D377H	cercius	OK
N2	n	NcB	lemma/92245	c0119	caerefolium	D3793	cerefolium	OK
N1	f	NcA	lemma/92114	c0000	caerimonia	D3795	ceremonia	OK
V1		VmF	lemma/40708	D2D13	caeremonior	D3798	ceremonior	NO
N1	f	NcA	lemma/93588	c1281	ceruesia	D37A6	cereuisia	OK
N1	f	NcA	lemma/92114	c0000	caerimonia	D37B8	cerimonia	OK
N1	f	NcA	lemma/93588	c1281	ceruesia	D37G0	ceruesa	OK
N1	f	NcA	lemma/93588	c1281	ceruesia	D37GG	ceruisa	OK
N2	n	NcB	lemma/92947	c0726	caeruleum	D37H2	ceruleum	NO
N1	f	NcA	lemma/97751	c9913	caesa	D37HC	cesa	NO
N3B	m	NcC	lemma/92265	c0139	caespes	D3805	cespes	OK
V1		VmF	lemma/92268	c0142	caespito	D3807	cespito	OK
N2	m	NcB	lemma/94359	c1974	cistifer	D3828	cestifer	OK
N4	m	NcD	lemma/92271	c0145	caestus	D382B	cestus	OK
N1	f	NcA	lemma/99187	d1245	diaeta	D382D	ceta	OK
N2	n	NcB	lemma/40865	D3834	cethoninum	D383B	cetoninum	NO
N1	f	NcA	lemma/40889	D2C48	cabanaria	D3850	chabanaria	NO
N1	f	NcA	lemma/40892	D2C62	cabentia	D3854	chabentia	NO
N2	m	NcB	lemma/40895	D2C84	cabocellus	D3857	chabocellus	NO
N2	m	NcB	lemma/40910	D2CAF	cacanus	D3859	chacanus	NO
N1	f	NcA	lemma/37844	D2CB3	cacea	D385B	chacea	NO
N1	f	NcA	lemma/40898	D2CB8	caceria	D385D	chaceria	NO
N1	f	NcA	lemma/37844	D2CB3	cacea	D3864	chaecia	NO
N2	n	NcB	lemma/37958	D2D1G	cafagium	D3866	chafagium	NO
N2	m	NcB	lemma/40910	D2CAF	cacanus	D386A	chaganus	NO
N1	f	NcA	lemma/92277	c0150	caia	D386B	chaia	NO
N2	m	NcB	lemma/40913	D2D74	calannus	D386E	chalannus	NO
N1	f	NcA	lemma/38075	D2DBF	calceria	D386H	chalceria	NO
N2	n	NcB	lemma/38151	D2DHH	calefagium	D3876	chalfagium	NO
N1	f	NcA	lemma/40921	D2E23	calia	D3878	chalia	NO
N2	n	NcB	lemma/38198	D2E34	califa	D3879	chalifa	NO
N1	f	NcA	lemma/40922	D2E71	calma	D387A	chalma	NO
N1	f	NcA	lemma/93748	c1423	chema	D3886	chama	OK
N2	m	NcB	lemma/40938	D2EEB	cambellanus	D3889	chambellanus	NO
N2	m	NcB	lemma/38383	D2EGE	cambrerius	D388D	chambrerius	NO
N2	n	NcB	lemma/40943	D2EHG	camelotum	D388F	chamelotum	NO
N1	f	NcA	lemma/92457	c0308	camara	D388H	chamera	NO
N2	m	NcB	lemma/40947	D2F3C	caminerius	D3892	chaminerius	NO
N2	m	NcB	lemma/40958	D2F74	camperius	D389E	champerius	NO
N2	m	NcB	lemma/92506	c0350	camus	D38A0	chamus	NO
N1	f	NcA	lemma/92507	c0351	canaba	D38A2	chanaba	NO
N2	n	NcB	lemma/38821	D2GG9	canterium	D38B4	chanterium	NO
N2	m	NcB	lemma/92631	c0455	cantherius	D38B5	chanterius	NO
N3B	m	NcC	lemma/38840	D2H01	canto	D38B6	chanto	NO
N1	f	NcA	lemma/38884	D2H34	capa	D38B9	chapa	NO
N1	f	NcA	lemma/141581	D2H5C	capella	D38BB	chapella	NO
N2	n	NcB	lemma/92700	c0513	capitellum	D38BG	chapitellum	NO
N2	n	NcB	lemma/40993	D30CD	capularium	D38C7	chapularium	NO
V1		VmF	lemma/40996	D30F8	caracterizo	D38CE	characterizo	NO
N2	m	NcB	lemma/92800	c0595	caragius	D38CH	charagius	NO
N3B	n	NcC	lemma/40998	D30FH	caragma	D38D0	charagma	NO
N3B	m	NcC	lemma/39237	D3106	caraxator	D38D4	charaxator	NO
N3B	m	NcC	lemma/92844	c0633	cardo	D38D9	chardo	NO
N1	f	NcA	lemma/41053	D3173	careria	D38DA	chareria	NO
N2	n	NcB	lemma/41014	D3184	cargatorium	D38E2	chargatorium	NO
N1	f	NcA	lemma/41017	D3186	cargia	D38E5	chargia	NO
V1		VmF	lemma/39341	D318D	cario	D38EC	chario	NO
N2	n	NcB	lemma/39371	D31B1	caristeum	D38F6	charisteum	NO
N2	m	NcB	lemma/39376	D31B7	caritaderius	D38F7	charitaderius	NO
N3B	f	NcC	lemma/92867	c0655	caritas	D38F8	charitas	OK
N2/1	*	Af-	lemma/41030	D31C9	caritatiuus	D38F9	charitatiuus	NO
N2/1	*	Af-	lemma/39383	D31CD	caritosus	D38FB	charitosus	NO
N2	n	NcB	lemma/39385	D31CG	cariuarium	D38FC	chariuarium	NO
N2	m	NcB	lemma/39418	D31F1	carmus	D38FF	charmus	NO
N2	n	NcB	lemma/41034	D31F6	carnagium	D38FG	charnagium	NO
N1	f	NcA	lemma/41039	D31H5	carneria	D38G3	charneria	NO
N2	n	NcB	lemma/41040	D31H8	carnerium	D38G4	charnerium	NO
N2	n	NcB	lemma/39525	D3259	carragium	D38GC	charragium	NO
N1	f	NcA	lemma/39534	D3265	carrata	D38GE	charrata	NO
N1	f	NcA	lemma/41053	D3173	careria	D38H1	charreria	NO
N2	n	NcB	lemma/39577	D3293	carreum	D38HA	charreum	NO
N2	n	NcB	lemma/41061	D3298	carriagium	D38HC	charriagium	NO
N2	n	NcB	lemma/41068	D32BG	carruagium	D3901	charruagium	NO
N1	f	NcA	lemma/39657	D32FA	cartapacia	D390D	chartapacia	NO
N2	m	NcB	lemma/41076	D32H0	cartellarii	D3910	chartellarii	NO
N2	m	NcB	lemma/41078	D32HD	carterius	D3912	charterius	NO
N2	n	NcB	lemma/39703	D330C	carticinium	D3915	charticinium	NO
V1		VmF	lemma/39720	D3321	cartulo	D391F	chartulo	NO
N2	n	NcB	lemma/39754	D3348	casalamentum	D3928	chasalamentum	NO
N2	n	NcB	lemma/39769	D3356	casamentum	D3929	chasamentum	NO
N2	n	NcB	lemma/41095	D337G	casellum	D392E	chasellum	NO
N1	f	NcA	lemma/41098	D3395	caslania	D392H	chaslania	NO
N1	f	NcA	lemma/39834	D33A1	cassa	D3931	chassa	NO
N2	n	NcB	lemma/39839	D33B1	cassamentum	D3932	chassamentum	NO
N1	f	NcA	lemma/92967	c0741	casia	D3933	chassia	NO
N3B	m	NcC	lemma/41106	D3424	casto	D393B	chasto	NO
N1	f	NcA	lemma/93039	c0800	casula	D393E	chasula	NO
N1	f	NcA	lemma/40091	D345H	cata	D393F	chata	NO
N2	m	NcB	lemma/41109	D34H7	cathologus	D393H	chatologus	NO
N2	n	NcB	lemma/41111	D352H	cauagium	D3941	chauagium	NO
N1	f	NcA	lemma/40188	D353A	caualcata	D3942	chaualcata	NO
N2	n	NcB	lemma/41112	D353H	cauallagium	D3943	chauallagium	NO
N1	f	NcA	lemma/40228	D3567	caucia	D394E	chaucia	NO
N2	n	NcB	lemma/41131	D35B2	caufagium	D3956	chaufagium	NO
N1	f	NcA	lemma/40621	D3728	ceoca	D3982	cheoca	NO
N2	m	NcB	lemma/40651	D3746	ceppus	D3987	cheppus	NO
I		X--	lemma/93635	c1322	chaere	D398C	chere	OK
N1	f	NcA	lemma/92114	c0000	caerimonia	D398F	cherimonia	NO
N2	n	NcB	lemma/40806	D37GD	ceruigium	D399E	cheruigium	NO
N1	f	NcA	lemma/97751	c9913	caesa	D39A1	chesa	NO
N1	f	NcA	lemma/40821	D37HF	cesia	D39A4	chesia	NO
N3B	n	NcC	lemma/94667	c2253	cochlear	D39GF	chochlear	NO
N1	f	NcA	lemma/96642	c4068	corona	D3A28	chorona	OK
N3B	f	NcC	lemma/94751	c2335	cohors	D3A2B	chors	OK
N3B	f	NcC	lemma/97421	c4779	cyclas	D3A9D	ciclas	NO
N2	m	NcB	lemma/97423	c4781	cyclus	D3A9G	ciclus	NO
N1	f	NcA	lemma/41511	D39D8	chimatura	D3AD5	cimatura	NO
N2	n	NcB	lemma/93925	c1575	ciborium	D3ADD	cimborium	NO
N2	n	NcB	lemma/92276	c0149	caementum	D3AE2	cimentum	OK
N2	n	NcB	lemma/41522	D3AE0	cimelia	D3AEE	cimilia	NO
N2	n	NcB	lemma/97212	c4588	cuminum	D3AF1	ciminum	OK
N2	n	NcB	lemma/94681	c2267	coemeterium	D3AF4	cimiterium	OK
N		NcP	lemma/41570	D36C3	cenegild	D3AHC	cinegild	NO
N3B	f	NcC	lemma/123725	s0648	sciniphes	D3B14	cinifes	OK
N3B	f	NcC	lemma/123725	s0648	sciniphes	D3B14	cinifes	OK
