codlem	gen	codmorf	LiLaRef	n_id	lemma	Throw_n_id	Throw_lemma	chk
N2	m	NcB	lemma/94064	c1694	circulus	D3B66	circlus	OK
N3B	f	NcC	lemma/94154	c1783	circumitio	D3B6E	circuitio	OK
N3B	m	NcC	lemma/94155	c1784	circumitor	D3B6G	circuitor	OK
N4	m	NcD	lemma/97841	c9989	circumitus	D3B71	circuitus	OK
N2/1	*	Af-	lemma/94128	c1757	circumforaneus	D3B8B	circumforanus	OK
N2	m	NcB	lemma/41710	D39EH	chirocleus	D3BB5	cirocleus	NO
N2	m	NcB	lemma/41716	D39F4	chirogryllus	D3BBB	cirogrillus	NO
N2	m	NcB	lemma/41729	D39FA	chirurgicus	D3BC9	cirurgicus	NO
N1	f	NcA	lemma/41809	D39G0	chiueria	D3BHH	ciueria	NO
N1	f	NcA	lemma/40622	D3729	ceola	D3C18	ciula	NO
N2/1	*	Af-	lemma/93793	c1462	chlamydatus	D3C44	clamidatus	NO
N3B	f	NcC	lemma/93795	c1463	chlamys	D3C46	clamis	OK
N1	f	NcA	lemma/94527	c2124	clitellae	D3D1A	cletellae	OK
N2/1	*	Af-	lemma/42105	D3D5B	cliuacius	D3D5D	cliuatius	NO
N1	f	NcA	lemma/42115	D3D65	cloca	D3D69	clocha	NO
N2/1	*	Af-	lemma/94464	c2063	claudus	D3D79	clodus	OK
N1	f	NcA	lemma/42138	D3CGD	cleia	D3D81	cloia	NO
N2	n	NcB	lemma/94478	c2077	claustrum	D3D92	clostrum	OK
N1	f	NcA	lemma/42138	D3CGD	cleia	D3D9E	cloya	NO
N1	f	NcA	lemma/104725	g0423	gluma	D3DAA	cluma	OK
N2	n	NcB	lemma/94553	c2146	clunaculum	D3DAC	clunabulum	OK
N2	n	NcB	lemma/94475	c2074	claustellum	D3DBH	clustellum	OK
N2	n	NcB	lemma/94478	c2077	claustrum	D3DC0	clustrum	OK
N2	n	NcB	lemma/97325	c4690	crustulum	D3DC0	clustrum	OK
N1	f	NcA	lemma/97556	c7059	clausura	D3DC2	clusura	OK
V1		VmF	lemma/94523	c2121	clipeo	D3DC8	clypeo	NO
N1	f	NcA	lemma/42272	D39GE	chochia	D3E01	cochia	NO
N3B	n	NcC	lemma/94667	c2253	cochlear	D3E0A	cochleare	OK
N1	f	NcA	lemma/93448	c1161	coquina	D3E11	cocina	OK
N2/1	*	Af-	lemma/96542	c3983	coquinarius	D3E13	cocinarius	OK
N2/1	*	Af-	lemma/96542	c3983	coquinarius	D3E13	cocinarius	OK
N3B	n	NcC	lemma/94667	c2253	cochlear	D3E1E	coclear	OK
N2	n	NcB	lemma/94669	c2255	cochlearium	D3E1H	coclearium	OK
N2	n	NcB	lemma/97603	c7934	cochlearium	D3E1H	coclearium	OK
N2/1	*	Af-	lemma/42290	D3E0D	cochlearius	D3E20	coclearius	NO
N2/1	*	Af-	lemma/94670	c2256	cochleatus	D3E22	cocleatus	NO
